EEG,alpha,beta,delta,theta
1.91651,-0.145963,1.01491,1.35601,-0.373463
-0.366211,-0.444904,0.495616,1.31066,-0.440612
-2.69165,-0.713233,-0.5225,1.26691,-0.488954
-4.60205,-0.917768,-1.70071,1.22515,-0.516154
-5.62134,-1.03126,-2.47598,1.18577,-0.520891
-5.34668,-1.03609,-2.3377,1.14916,-0.502929
-3.55225,-0.92683,-1.13935,1.11566,-0.463131
0.292969,-0.711446,0.746749,1.08561,-0.403422
3.49121,-0.410748,2.55043,1.0593,-0.326697
4.56543,-0.0562456,3.45884,1.03699,-0.236695
4.26026,0.313379,3.01991,1.01889,-0.137798
3.80249,0.656767,1.37327,1.00519,-0.0347944
2.27051,0.934816,-0.814337,0.996019,0.0673922
-0.549317,1.11546,-2.66446,0.99145,0.163961
-2.36817,1.17768,-3.47709,0.991517,0.250476
-1.85547,1.11412,-3.00048,0.996201,0.323085
1.80054,0.932029,-1.47781,1.00543,0.378709
4.10767,0.652399,0.502395,1.01908,0.415193
3.6377,0.307379,2.24383,1.03698,0.431404
2.83203,-0.0636389,3.16415,1.05889,0.42728
2.87476,-0.41884,2.95256,1.08456,0.403807
3.39356,-0.719097,1.65808,1.11366,0.362958
2.0874,-0.932681,-0.297534,1.14584,0.307568
-1.51978,-1.03894,-2.21167,1.18069,0.241153
-5.34668,-1.03049,-3.31985,1.21778,0.167688
-5.62744,-0.913711,-3.10249,1.25663,0.0913577
-1.33667,-0.707521,-1.5564,1.29674,0.0163125
4.08936,-0.440554,0.726787,1.33757,-0.0535597
7.00074,-0.147234,2.76703,1.37859,-0.114838
5.48096,0.136816,3.63016,1.41923,-0.16475
2.23389,0.379381,2.88738,1.45893,-0.201322
0.0488282,0.555641,0.853941,1.49713,-0.223457
-0.268555,0.651015,-1.53805,1.53328,-0.230967
0.238037,0.662461,-3.1844,1.56684,-0.224558
0.109863,0.598167,-3.3474,1.5973,-0.205771
-0.256348,0.47571,-2.01045,1.62418,-0.176868
0.8667,0.319025,0.131857,1.64701,-0.140678
3.6377,0.154603,2.03702,1.66538,-0.100401
5.66407,0.00748185,2.83849,1.67892,-0.0594009
4.79126,-0.102426,2.26079,1.6873,-0.0209813
1.32446,-0.163101,0.719474,1.69023,0.0118434
-0.598145,-0.171886,-0.933978,1.68749,0.0365605
-0.140381,-0.135441,-1.87798,1.67892,0.0513444
2.11182,-0.0682318,-1.74494,1.66441,0.0551992
2.74658,0.0101379,-0.776551,1.64392,0.0480334
1.3855,0.0783482,0.366273,1.61746,0.030652
0.64087,0.117014,1.01908,1.58511,0.00468226
1.14746,0.112042,0.903905,1.54701,-0.027543
1.79443,0.057218,0.258702,1.50337,-0.0631349
0.677491,-0.0443982,-0.366734,1.45443,-0.0988381
-1.45874,-0.180504,-0.507081,1.40053,-0.131253
-1.45264,-0.331079,-0.10151,1.34205,-0.15707
0.250244,-0.471212,0.481149,1.27942,-0.173289
2.13623,-0.574828,0.72762,1.21311,-0.177424
1.80664,-0.618767,0.371015,1.14366,-0.167695
-1.3794,-0.586616,-0.396781,1.07161,-0.143191
-3.69263,-0.471708,-1.05039,0.997547,-0.103988
-2.97241,-0.27883,-1.10757,0.922072,-0.0512138
1.67847,-0.0243683,-0.483103,0.84581,0.012974
5.40161,0.265182,0.440714,0.7694,0.0854807
4.81568,0.556232,1.07987,0.693482,0.162449
2.15454,0.812255,1.0545,0.618696,0.239479
0.842286,0.998544,0.438255,0.545667,0.311878
